problem,mode,strength,true_mean,true_std,true_min,internal_mean
barbell,degree,1.0,-11.0,0.0,-11.0,-783.7364501953125
barbell,degree+variance,1.0,-11.0,0.0,-11.0,-783.7364501953125
barbell,off,1.0,-4.2,7.5630681604756145,-9.0,-9.0
barbell,variance_profiled,1.0,-4.2,8.78635305459552,-11.0,-2.8906976997852327
barbell_bridge_node,degree,1.0,-8.8,1.0954451150103321,-10.0,-580.94326171875
barbell_bridge_node,degree+variance,1.0,-8.8,1.0954451150103321,-10.0,-580.94326171875
barbell_bridge_node,off,1.0,8.4,8.294576541331088,-4.0,-7.0
barbell_bridge_node,variance_profiled,1.0,7.2,9.121403400793104,-4.0,-2.631623888015747
dense_40,degree,1.0,-40.01031491007969,13.441799628767065,-59.15712067355007,-840.2778686523437
dense_40,degree+variance,1.0,-40.01031491007969,13.441799628767065,-59.15712067355007,-840.2778686523437
dense_40,off,1.0,-13.930353576616747,19.227447131921412,-36.038690464911184,-11.586646699905396
dense_40,variance_profiled,1.0,-9.047321239505248,20.195504794967164,-36.595461667446166,-0.9146156311035156
k5_graph,degree,1.0,-2.0,0.0,-2.0,-132.52003479003906
k5_graph,degree+variance,1.0,-2.0,0.0,-2.0,-132.52003479003906
k5_graph,off,1.0,-1.2,5.215361924162119,-10.0,-5.0
k5_graph,variance_profiled,1.0,0.4,2.1908902300206647,-2.0,-3.0824328422546388
regular_varmix_40,degree,1.0,-25.0553403452512,16.153843516230463,-52.5270570446026,-715.7336669921875
regular_varmix_40,degree+variance,1.0,-25.0553403452512,16.153843516230463,-52.5270570446026,-715.7336669921875
regular_varmix_40,off,1.0,-1.108102948428092,13.777452989943185,-13.353766272271743,-11.568102502822876
regular_varmix_40,variance_profiled,1.0,8.73807628686199,16.593968255956526,-9.024693651022197,0.20493714809417723
ring_40,degree,1.0,-40.0,0.0,-40.0,-1280.0
ring_40,degree+variance,1.0,-40.0,0.0,-40.0,-1280.0
ring_40,off,1.0,-8.0,4.898979485566356,-12.0,-8.0
ring_40,variance_profiled,1.0,-4.8,6.572670690061994,-12.0,-0.15628033131361008
sparse_40,degree,1.0,-9.372955165309167,7.576453931838275,-16.34996843376779,-375.0856994628906
sparse_40,degree+variance,1.0,-9.372955165309167,7.576453931838275,-16.34996843376779,-375.0856994628906
sparse_40,off,1.0,-6.657041403088814,6.2781486986246655,-13.199842693802356,-6.81067476272583
sparse_40,variance_profiled,1.0,-6.657041403088814,6.2781486986246655,-13.199842693802356,-6.109945917129517
star_50,degree,1.0,-30.0,18.24828759089466,-47.0,-1156.836083984375
star_50,degree+variance,1.0,-30.0,18.24828759089466,-47.0,-1156.836083984375
star_50,off,1.0,-1.4,8.080841540334768,-11.0,-3.7
star_50,variance_profiled,1.0,0.6,5.856620185738529,-4.0,0.03243312835693359
